Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n5","R_0603_1608Metric",89.154000,-115.824000,90.000000,top
"C2","47n","R_0603_1608Metric",103.697000,-105.219000,0.000000,top
"C3","47n","R_0603_1608Metric",89.154000,-109.474000,90.000000,top
"C5","33n","R_0603_1608Metric",120.396000,-105.918000,-90.000000,top
"C6","10n","R_0603_1608Metric",125.730000,-108.267000,180.000000,top
"C7","1u","CP_EIA-3216-10_Kemet-I",122.174000,-116.840000,-90.000000,top
"C8","3n3","R_0603_1608Metric",121.920000,-120.967000,-90.000000,top
"C9","15n","R_0603_1608Metric",119.634000,-122.745000,-90.000000,top
"C10","470p","R_0603_1608Metric",116.332000,-122.048000,0.000000,top
"C11","4n7","R_0603_1608Metric",108.712000,-122.810000,-90.000000,top
"C12","2n2","R_0603_1608Metric",112.268000,-122.810000,-90.000000,top
"C13","150p","R_0603_1608Metric",115.316000,-124.714000,180.000000,top
"C14","1u","CP_EIA-3216-10_Kemet-I",109.728000,-118.238000,-90.000000,top
"C15","10n","R_0603_1608Metric",116.332000,-111.823000,0.000000,top
"C16","1u","CP_EIA-3216-10_Kemet-I",109.982000,-106.743000,90.000000,top
"C17","220u","CP_Elec_6.3x7.7",99.314000,-143.256000,90.000000,top
"C18","10u","CP_EIA-3216-10_Kemet-I",104.648000,-145.796000,90.000000,top
"C19","10u","CP_EIA-3216-10_Kemet-I",104.648000,-140.716000,90.000000,top
"C20","100n","R_0603_1608Metric",100.076000,-111.061000,180.000000,top
"C21","100n","R_0603_1608Metric",126.746000,-115.062000,180.000000,top
"C22","100n","R_0603_1608Metric",101.919000,-123.951000,-90.000000,top
"Q3","MMBT3904","SOT-23",91.107500,-124.079000,0.000000,top
"Q4","MMBT3906","SOT-23",98.617000,-124.205000,0.000000,top
"R1","20K","R_0603_1608Metric",99.314000,-118.047000,-90.000000,top
"R2","2K2","R_0603_1608Metric",100.076000,-114.999000,0.000000,top
"R4","1K","R_0603_1608Metric",91.982000,-121.031000,180.000000,top
"R5","1K","R_0603_1608Metric",88.900000,-119.634000,90.000000,top
"R6","6k8","R_0603_1608Metric",85.344000,-130.747000,90.000000,top
"R7","100k","R_0603_1608Metric",85.344000,-134.811000,90.000000,top
"R8","47K","R_0603_1608Metric",107.950000,-136.911000,90.000000,top
"R9","47K","R_0603_1608Metric",100.076000,-105.219000,180.000000,top
"R10","220K","R_0603_1608Metric",93.218000,-112.268000,180.000000,top
"R12","120K","R_0603_1608Metric",94.234000,-104.711000,0.000000,top
"R13","470K","R_0603_1608Metric",99.379000,-108.013000,90.000000,top
"R14","68k","R_0603_1608Metric",96.520000,-112.268000,0.000000,top
"R15","100k","R_0603_1608Metric",101.982000,-107.251000,0.000000,top
"R16","20K","R_0603_1608Metric",98.603500,-121.157000,180.000000,top
"R17","220K","R_0603_1608Metric",119.634000,-108.458000,0.000000,top
"R18","1k","R_0603_1608Metric",120.396000,-110.998000,90.000000,top
"R19","20k","R_0603_1608Metric",123.761000,-111.823000,180.000000,top
"R20","6k8","R_0603_1608Metric",122.936000,-109.162787,90.000000,top
"R21","3k3","R_0603_1608Metric",126.492000,-124.777000,180.000000,top
"R22","10K","R_0603_1608Metric",122.682000,-124.777000,180.000000,top
"R23","10K","R_0603_1608Metric",119.126000,-126.047000,180.000000,top
"R24","10k","R_0603_1608Metric",108.204000,-131.635000,90.000000,top
"R25","47k","R_0603_1608Metric",109.728000,-126.301000,0.000000,top
"R26","47k","R_0603_1608Metric",113.538000,-126.746000,0.000000,top
"R27","220K","R_0603_1608Metric",107.442000,-118.681000,90.000000,top
"R28","10K","R_0603_1608Metric",114.554000,-105.981000,90.000000,top
"R29","20K","R_0603_1608Metric",114.617000,-109.791000,0.000000,top
"R30","6k8","R_0603_1608Metric",112.776000,-111.823000,0.000000,top
"R31","1k","R_0603_1608Metric",109.728000,-111.315000,-90.000000,top
"R32","100K","R_0603_1608Metric",106.426000,-105.981000,-90.000000,top
"R33","47","R_0603_1608Metric",94.551000,-147.320000,0.000000,top
"R34","47k","R_0603_1608Metric",107.188000,-144.843000,-90.000000,top
"R35","47k","R_0603_1608Metric",107.188000,-141.541000,-90.000000,top
"R36","20K","R_0603_1608Metric",95.504000,-124.269000,90.000000,top
"RV3","100K","Potentiometer_Bourns_3314J_Vertical",126.746000,-119.476000,0.000000,top
"U3","LM358","SOIC-8_3.9x4.9mm_P1.27mm",94.234000,-108.521000,0.000000,top
"U4","TL074","SOIC-14_3.9x8.7mm_P1.27mm",115.824000,-117.159000,-90.000000,top
"U5","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",94.488000,-117.094000,0.000000,top
